,Color
sfrp-1 / mom-5,"(0.9969498910675382, 0.8684095860566449, 0.4993464052287582, 1.0)"
par-3 / hmr-1,"(1.0, 1.0, 0.8, 1.0)"
hmr-1 / hmr-1,"(1.0, 1.0, 0.8, 1.0)"
wrt-4 / ptc-3,"(1.0, 1.0, 0.8, 1.0)"
wrt-2 / ptc-3,"(1.0, 1.0, 0.8, 1.0)"
wrt-1 / ptc-3,"(1.0, 1.0, 0.8, 1.0)"
qua-1 / ptc-3,"(0.9555555555555556, 0.23790849673202616, 0.14640522875816994, 1.0)"
sfrp-1 / mig-1,"(0.9969498910675382, 0.8684095860566449, 0.4993464052287582, 1.0)"
mom-2 / mig-1,"(0.9938997821350762, 0.6174291938997821, 0.2631808278867102, 1.0)"
mab-20 / lad-2,"(1.0, 1.0, 0.8, 1.0)"
daf-7 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
dbl-1 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
let-756 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
smp-2 / plx-1,"(0.5019607843137255, 0.0, 0.14901960784313725, 1.0)"
smp-1 / plx-1,"(0.9969498910675382, 0.8684095860566449, 0.4993464052287582, 1.0)"
mom-2 / lin-17,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
lin-44 / lin-17,"(0.9938997821350762, 0.6174291938997821, 0.2631808278867102, 1.0)"
sup-17 / pat-3,"(1.0, 1.0, 0.8, 1.0)"
sax-7 / pat-3,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
lam-2 / pat-3,"(1.0, 1.0, 0.8, 1.0)"
unc-52 / pat-3,"(1.0, 1.0, 0.8, 1.0)"
sax-7 / let-23,"(1.0, 1.0, 0.8, 1.0)"
lin-3 / let-23,"(1.0, 1.0, 0.8, 1.0)"
unc-52 / let-23,"(1.0, 1.0, 0.8, 1.0)"
unc-6 / sax-3,"(1.0, 1.0, 0.8, 1.0)"
slt-1 / sax-3,"(1.0, 1.0, 0.8, 1.0)"
wrt-5 / ptc-1,"(0.9904139433551199, 0.4431372549019608, 0.20392156862745098, 1.0)"
unc-52 / scrm-1,"(1.0, 1.0, 0.8, 1.0)"
vab-2 / wrk-1,"(1.0, 1.0, 0.8, 1.0)"
daf-28 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-1 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-6 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-7 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-18 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-2 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-3 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-4 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-5 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-8 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-9 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-10 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-11 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-12 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-13 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-14 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-15 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-16 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-17 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-19 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-20 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-22 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-24 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-25 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-26 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-27 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-28 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-29 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-30 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-31 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-32 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-33 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-34 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-35 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-36 / daf-2,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
ins-37 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
ins-39 / daf-2,"(1.0, 1.0, 0.8, 1.0)"
lag-2 / glp-1,"(1.0, 1.0, 0.8, 1.0)"
apx-1 / lin-12,"(1.0, 1.0, 0.8, 1.0)"
arg-1 / lin-12,"(1.0, 1.0, 0.8, 1.0)"
dsl-2 / lin-12,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
dsl-3 / lin-12,"(1.0, 1.0, 0.8, 1.0)"
dsl-4 / lin-12,"(1.0, 1.0, 0.8, 1.0)"
dsl-5 / lin-12,"(1.0, 1.0, 0.8, 1.0)"
dsl-6 / lin-12,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
dsl-7 / lin-12,"(1.0, 1.0, 0.8, 1.0)"
apx-1 / glp-1,"(1.0, 1.0, 0.8, 1.0)"
arg-1 / glp-1,"(1.0, 1.0, 0.8, 1.0)"
dsl-1 / glp-1,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
dsl-2 / glp-1,"(1.0, 1.0, 0.8, 1.0)"
dsl-3 / glp-1,"(1.0, 1.0, 0.8, 1.0)"
dsl-4 / glp-1,"(0.9969498910675382, 0.8684095860566449, 0.4993464052287582, 1.0)"
dsl-5 / glp-1,"(0.9938997821350762, 0.6174291938997821, 0.2631808278867102, 1.0)"
dsl-6 / glp-1,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
dsl-7 / glp-1,"(1.0, 1.0, 0.8, 1.0)"
unc-129 / unc-5,"(1.0, 1.0, 0.8, 1.0)"
dbl-1 / sma-10,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
dbl-1 / crm-1,"(1.0, 1.0, 0.8, 1.0)"
dbl-1 / lon-2,"(1.0, 1.0, 0.8, 1.0)"
K05F1.5 / dma-1,"(0.9904139433551199, 0.4431372549019608, 0.20392156862745098, 1.0)"
sax-7 / dma-1,"(1.0, 1.0, 0.8, 1.0)"
mnr-1 / dma-1,"(0.8570806100217866, 0.07930283224400879, 0.11851851851851848, 1.0)"
efn-4 / sax-3,"(1.0, 1.0, 0.8, 1.0)"
mab-20 / sax-3,"(1.0, 1.0, 0.8, 1.0)"
emb-9 / ddr-2,"(1.0, 1.0, 0.8, 1.0)"
mec-1 / mec-4,"(1.0, 1.0, 0.8, 1.0)"
mec-5 / mec-4,"(0.9938997821350762, 0.6174291938997821, 0.2631808278867102, 1.0)"
mec-9 / mec-4,"(1.0, 1.0, 0.8, 1.0)"
mec-1 / mec-10,"(1.0, 1.0, 0.8, 1.0)"
mec-5 / mec-10,"(0.5019607843137255, 0.0, 0.14901960784313725, 1.0)"
mec-9 / mec-10,"(1.0, 1.0, 0.8, 1.0)"
shn-1 / ced-1,"(1.0, 1.0, 0.8, 1.0)"
col-119 / daf-4,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
col-19 / daf-4,"(1.0, 0.9372549019607843, 0.6466230936819173, 1.0)"
