,score
dbl-1 / let-23,0.0
cwn-2 / lin-17,0.0
cwn-2 / mig-1,0.0
cwn-2 / vang-1,0.0
cwn-2 / mom-5,0.0
cwn-2 / lin-18,0.0
egl-20 / lin-17,0.0
egl-20 / mig-1,0.0
egl-20 / fmi-1,0.0
egl-20 / vang-1,0.12
egl-20 / mom-5,0.0
egl-20 / lin-18,0.07
dsl-1 / lin-12,0.18
lad-2 / pat-3,0.0
lad-2 / pat-2,0.0
lad-2 / let-23,0.0
mab-20 / vab-1,0.0
mab-20 / plx-2,0.86
lag-2 / lin-12,0.12
adm-4 / lin-12,0.0
unc-6 / unc-5,0.0
cdh-1 / vang-1,0.0
cwn-1 / cam-1,0.0
mom-2 / cam-1,0.0
cwn-2 / cam-1,0.0
T19D12.6 / cam-1,0.0
lin-44 / cam-1,0.71
egl-20 / cam-1,0.01
tig-3 / daf-4,0.0
daf-7 / daf-4,0.0
dbl-1 / daf-4,0.0
tig-2 / daf-4,0.0
mom-2 / lin-18,0.63
sfrp-1 / lin-18,0.0
lin-44 / lin-18,0.0
tig-3 / sma-6,0.0
tig-2 / sma-6,0.0
sup-17 / glp-1,0.69
ensh-1 / crb-1,0.0
cwn-1 / cfz-2,0.0
mom-2 / cfz-2,0.0
sfrp-1 / cfz-2,0.07
cwn-2 / cfz-2,0.06
lin-44 / cfz-2,0.73
egl-20 / cfz-2,0.02
daf-7 / daf-1,0.01
dbl-1 / daf-1,0.0
tig-2 / daf-1,0.0
C15C8.4 / lrp-1,0.0
rig-6 / wrk-1,0.45
syg-2 / syg-1,0.0
sup-17 / pat-2,0.0
sax-7 / pat-2,0.0
unc-52 / pat-2,0.01
lam-3 / ina-1,0.02
zmp-1 / ina-1,0.0
lam-2 / ina-1,0.0
let-2 / ina-1,0.29
egl-17 / egl-15,0.03
kal-1 / egl-15,0.03
kal-1 / sax-7,0.22
unc-52 / egl-15,0.0
let-2 / egl-15,0.0
let-756 / egl-15,0.0
slt-1 / gpn-1,0.0
smp-1 / plx-2,0.13
smp-2 / plx-2,0.22
slt-1 / plx-2,0.03
vpr-1 / vab-1,0.14
vab-2 / vab-1,0.0
sup-17 / lin-12,0.0
osm-11 / lin-12,0.13
dpy-2 / let-4,0.0
sfrp-1 / mom-5,0.04
par-3 / hmr-1,0.0
hmr-1 / hmr-1,0.18
wrt-4 / ptc-3,0.0
wrt-2 / ptc-3,0.0
wrt-1 / ptc-3,0.0
qua-1 / ptc-3,0.29
sfrp-1 / mig-1,0.0
mom-2 / mig-1,0.0
mab-20 / lad-2,0.0
daf-7 / daf-2,0.0
dbl-1 / daf-2,0.0
let-756 / daf-2,0.0
smp-2 / plx-1,1.0
smp-1 / plx-1,0.45
mom-2 / lin-17,0.02
lin-44 / lin-17,0.3
sup-17 / pat-3,0.0
sax-7 / pat-3,0.21
lam-2 / pat-3,0.0
unc-52 / pat-3,0.09
sax-7 / let-23,0.0
lin-3 / let-23,0.03
unc-52 / let-23,0.02
unc-6 / sax-3,0.0
slt-1 / sax-3,0.0
wrt-5 / ptc-1,0.8
unc-52 / scrm-1,0.0
vab-2 / wrk-1,0.0
daf-28 / daf-2,0.21
ins-1 / daf-2,0.01
ins-6 / daf-2,0.0
ins-7 / daf-2,0.08
ins-18 / daf-2,0.0
ins-2 / daf-2,0.1
ins-3 / daf-2,0.0
ins-4 / daf-2,0.01
ins-5 / daf-2,0.0
ins-8 / daf-2,0.12
ins-9 / daf-2,0.0
ins-10 / daf-2,0.0
ins-11 / daf-2,0.07
ins-12 / daf-2,0.07
ins-13 / daf-2,0.1
ins-14 / daf-2,0.0
ins-15 / daf-2,0.13
ins-16 / daf-2,0.08
ins-17 / daf-2,0.07
ins-19 / daf-2,0.11
ins-20 / daf-2,0.04
ins-22 / daf-2,0.0
ins-24 / daf-2,0.0
ins-25 / daf-2,0.56
ins-26 / daf-2,0.0
ins-27 / daf-2,0.01
ins-28 / daf-2,0.01
ins-29 / daf-2,0.13
ins-30 / daf-2,0.02
ins-31 / daf-2,0.09
ins-32 / daf-2,0.1
ins-33 / daf-2,0.08
ins-34 / daf-2,0.11
ins-35 / daf-2,0.15
ins-36 / daf-2,0.15
ins-37 / daf-2,0.12
ins-39 / daf-2,0.0
lag-2 / glp-1,0.48
apx-1 / lin-12,0.0
arg-1 / lin-12,0.33
dsl-2 / lin-12,0.19
dsl-3 / lin-12,0.0
dsl-4 / lin-12,0.02
dsl-5 / lin-12,0.0
dsl-6 / lin-12,0.15
dsl-7 / lin-12,0.0
apx-1 / glp-1,0.02
arg-1 / glp-1,0.12
dsl-1 / glp-1,0.07
dsl-2 / glp-1,0.08
dsl-3 / glp-1,0.0
dsl-4 / glp-1,0.14
dsl-5 / glp-1,0.06
dsl-6 / glp-1,0.1
dsl-7 / glp-1,0.0
unc-129 / unc-5,0.35
dbl-1 / sma-10,0.86
dbl-1 / crm-1,0.0
dbl-1 / lon-2,0.27
K05F1.5 / dma-1,0.95
sax-7 / dma-1,0.0
mnr-1 / dma-1,0.93
