,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Excretory_cells,0.45701357466063347,0.4380165289256198,0.4729458917835671,0.44742729306487694,0.4921875,0.2318840579710145,0.5100917431192661,0.4892367906066536,0.4969939879759519,0.43683083511777304,0.4940239043824701,0.47357293868921774,0.4297520661157025,0.45535714285714285,0.48394004282655245,0.4744525547445255,0.5038759689922481,0.5182186234817814,0.49896907216494846,0.40594059405940597,0.4673684210526316,0.44880174291938996
Somatic_gonad_precursors,0.4380165289256198,0.4752851711026616,0.5064695009242144,0.4335378323108384,0.5379061371841155,0.23772609819121446,0.555366269165247,0.5099457504520796,0.532347504621072,0.4400785854616896,0.5330882352941176,0.47766990291262135,0.4866920152091255,0.45714285714285713,0.5147347740667977,0.5152542372881356,0.5591397849462365,0.5410447761194029,0.5009487666034156,0.38565022421524664,0.4990328820116054,0.4870259481037924
Body_wall_muscle,0.4729458917835671,0.5064695009242144,0.6007194244604317,0.49206349206349204,0.5307557117750439,0.25870646766169153,0.6345514950166113,0.5809859154929577,0.5755395683453237,0.5343511450381679,0.5509838998211091,0.5283018867924528,0.5249537892791127,0.4752475247524752,0.5305343511450382,0.5851239669421487,0.6178010471204188,0.5771324863883848,0.5571955719557196,0.420824295010846,0.5375939849624061,0.5116279069767442
Am/PH_sheath_cells,0.44742729306487694,0.4335378323108384,0.49206349206349204,0.41150442477876104,0.5067698259187621,0.25142857142857145,0.52,0.4883720930232558,0.5119047619047619,0.4364406779661017,0.504930966469428,0.4895397489539749,0.44171779141104295,0.45916114790286977,0.5042372881355932,0.4665461121157324,0.5374280230326296,0.5170340681362725,0.5020408163265306,0.42053789731051344,0.48333333333333334,0.47413793103448276
Non-seam_hypodermis,0.4921875,0.5379061371841155,0.5307557117750439,0.5067698259187621,0.5738831615120275,0.2746987951807229,0.5821138211382114,0.5611015490533563,0.5905096660808435,0.5027932960893855,0.5594405594405595,0.5488029465930019,0.5234657039711191,0.5366795366795367,0.547486033519553,0.5663430420711975,0.5802047781569966,0.5709219858156028,0.554954954954955,0.4472573839662447,0.5504587155963303,0.5368620037807184
Germline,0.2318840579710145,0.23772609819121446,0.25870646766169153,0.25142857142857145,0.2746987951807229,0.18548387096774194,0.29910714285714285,0.2753623188405797,0.2736318407960199,0.22702702702702704,0.2716049382716049,0.25,0.2532299741602067,0.245014245014245,0.2702702702702703,0.2838137472283814,0.315035799522673,0.3224181360201511,0.27319587628865977,0.20846905537459284,0.26455026455026454,0.26519337016574585
Cholinergic_neurons,0.5100917431192661,0.555366269165247,0.6345514950166113,0.52,0.5821138211382114,0.29910714285714285,0.6512345679012346,0.6091205211726385,0.6079734219269103,0.5403508771929825,0.6148760330578512,0.5659722222222222,0.5621805792163543,0.5117967332123412,0.5754385964912281,0.6144393241167435,0.6365105008077544,0.6063651591289783,0.5850340136054422,0.4457593688362919,0.5743944636678201,0.5516014234875445
GABAergic_neurons,0.4892367906066536,0.5099457504520796,0.5809859154929577,0.4883720930232558,0.5611015490533563,0.2753623188405797,0.6091205211726385,0.5482758620689655,0.573943661971831,0.5111940298507462,0.5919439579684763,0.5498154981549815,0.5063291139240507,0.4796905222437137,0.5373134328358209,0.5769854132901134,0.6017094017094017,0.5896980461811723,0.5703971119133574,0.4397463002114165,0.5441176470588235,0.5227272727272727
Pharyngeal_epithelia,0.4969939879759519,0.532347504621072,0.5755395683453237,0.5119047619047619,0.5905096660808435,0.2736318407960199,0.6079734219269103,0.573943661971831,0.6007194244604317,0.5152671755725191,0.5867620751341681,0.5547169811320755,0.5286506469500925,0.5069306930693069,0.5725190839694656,0.5752066115702479,0.6038394415357766,0.5916515426497277,0.5535055350553506,0.4642082429501085,0.556390977443609,0.5465116279069767
Touch_receptor_neurons,0.43683083511777304,0.4400785854616896,0.5343511450381679,0.4364406779661017,0.5027932960893855,0.22702702702702704,0.5403508771929825,0.5111940298507462,0.5152671755725191,0.491869918699187,0.5351043643263758,0.4939759036144578,0.4400785854616896,0.42283298097251587,0.5,0.5270506108202443,0.532347504621072,0.5394990366088632,0.5137254901960784,0.372960372960373,0.48,0.45454545454545453
