,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Excretory_cells,0.03955300704260686,0.48738230031708435,0.7882122370991083,0.1202735033604228,0.27992342723185937,0.208309350979882,0.23758404254094811,0.11162391013475258,0.6237881497173272,0.06403953101083354,0.41044132795849386,0.1953154850930596,0.14053145214163518,0.37535700174274067,0.3660772878461231,0.19104670084408895,0.15810893814836643,0.20086630669793717,0.5791369794490236,0.3005959181846626,0.4092138761391207,0.39609816826832855
Somatic_gonad_precursors,0.48738230031708435,1.0338582672609673,0.7590765212057449,0.33240697470699243,0.13637977972968446,0.7798919119599451,1.0215912073769609,0.48598381959935066,1.4621809049267263,0.2820799741630064,0.8669403572460906,0.6546262694409116,0.3801764995427219,0.3318005158013381,0.234070797796859,1.064240896254688,0.5712984003769458,0.28554449750952626,1.0915149811213505,1.0838093400194624,0.9931062920520999,0.5308409729279879
Body_wall_muscle,0.7882122370991083,0.7590765212057449,0.48684901462379426,0.15381757869352325,0.020087589665283068,0.23784680769640534,1.567030709125596,0.5551748004902524,0.6560992877503938,0.33757273554727363,1.141162148571415,0.5329101014791838,0.27683176345711263,0.046047116768076914,0.16187533725707695,1.6401645176601114,0.7703181576823243,0.28282897316768985,1.2471835688117288,0.5220832676953643,0.6540384581868586,0.3673908831390561
Am/PH_sheath_cells,0.1202735033604228,0.33240697470699243,0.15381757869352325,0.1672676108766355,0.17639537164484206,0.13978181533124334,0.1750285388763067,0.010839511693677025,0.5441657716034323,0.112973787225612,0.3739163837302207,0.14188406780993384,0.08346709599455276,0.22479017588895592,0.3744303417569537,0.20079734369947497,0.012155049828701853,0.06681652082538617,0.21914285624043142,0.27666749131069895,0.21638223480925134,0.14657558952441702
Non-seam_hypodermis,0.27992342723185937,0.13637977972968446,0.020087589665283068,0.17639537164484206,0.11156775620631862,0.02287109941931779,0.028237234998297042,0.0030726198538720793,0.44375782209993986,0.008131820645956028,0.0627329277885873,0.008021209005416367,0.0887091925220054,0.21774242633669827,0.3711514720071979,0.03981472339538905,0.06582991869470617,0.14526898278605777,0.09509520197929952,0.1265340762886817,0.22213837582375812,0.023948213538335216
Germline,0.208309350979882,0.7798919119599451,0.23784680769640534,0.13978181533124334,0.02287109941931779,0.7757259857057421,0.03876880295533691,0.019019996321927364,0.7659891824128207,0.03442204208947211,0.35487260074160887,0.14308993969921374,0.023512462694810048,0.14287867027127846,0.037606984796595896,0.08123596897200089,0.12493873660829995,0.47657872562736836,0.9404365820987323,0.08052965004925136,0.3506651412878581,0.29899359340445186
Cholinergic_neurons,0.23758404254094811,1.0215912073769609,1.567030709125596,0.1750285388763067,0.028237234998297042,0.03876880295533691,0.6017994927805721,0.3384239227398543,0.4988037579729114,0.3506651412878581,1.167491087293764,0.2551596032146208,0.16586552900702634,0.10273038669629435,0.05504874010136165,0.7812020018882625,0.3010734272837887,0.1612453313702811,1.3675427078152753,1.0690509688324767,0.6946486305533761,0.6017994927805721
GABAergic_neurons,0.11162391013475258,0.48598381959935066,0.5551748004902524,0.010839511693677025,0.0030726198538720793,0.019019996321927364,0.3384239227398543,0.37866789887919117,0.4916049668669471,0.16405589990615188,0.7884790027597702,0.2889523961329661,0.026456531467510317,0.04607126100613195,0.04505835693525709,0.7570860531810746,0.5979106494279034,0.2975263809214447,1.0078885122130505,0.08475850269380561,0.47391930819797007,0.13626089265478286
Pharyngeal_epithelia,0.6237881497173272,1.4621809049267263,0.6560992877503938,0.5441657716034323,0.44375782209993986,0.7659891824128207,0.4988037579729114,0.4916049668669471,1.0550240915879519,0.4502612687351011,2.026872146400303,0.8634379634100201,0.43033353767473126,0.28062727468010307,0.3359694750527827,0.6079188802018399,0.3458234581220394,0.8065970969375824,0.9122185821904578,1.8181564120552276,1.1252283628157014,1.140861702705469
Touch_receptor_neurons,0.06403953101083354,0.2820799741630064,0.33757273554727363,0.112973787225612,0.008131820645956028,0.03442204208947211,0.3506651412878581,0.16405589990615188,0.4502612687351011,0.266120922296233,0.8743561076426082,0.18091692425629732,0.06188073080568831,0.03315457634508363,0.01843053827938486,0.5605094096103165,0.21609642072726507,0.22402566887063094,0.8013429130455776,0.1395721486922304,0.4391969980060363,0.14333151638846497
