,Symbol,Name,EntrezGene.ID,Ensembl.Gene.ID,HomoloGene.ID,HGNC.ID
ace-2,ace-2,ace-2,ace-2,ace-2,ace-2,ace-2
ace-3,ace-3,ace-3,ace-3,ace-3,ace-3,ace-3
ace-4,ace-4,ace-4,ace-4,ace-4,ace-4,ace-4
acn-1,acn-1,acn-1,acn-1,acn-1,acn-1,acn-1
aco-1,aco-1,aco-1,aco-1,aco-1,aco-1,aco-1
aco-2,aco-2,aco-2,aco-2,aco-2,aco-2,aco-2
acr-2,acr-2,acr-2,acr-2,acr-2,acr-2,acr-2
acr-3,acr-3,acr-3,acr-3,acr-3,acr-3,acr-3
acr-5,acr-5,acr-5,acr-5,acr-5,acr-5,acr-5
acr-6,acr-6,acr-6,acr-6,acr-6,acr-6,acr-6
acr-7,acr-7,acr-7,acr-7,acr-7,acr-7,acr-7
acr-8,acr-8,acr-8,acr-8,acr-8,acr-8,acr-8
acr-9,acr-9,acr-9,acr-9,acr-9,acr-9,acr-9
acr-10,acr-10,acr-10,acr-10,acr-10,acr-10,acr-10
acr-11,acr-11,acr-11,acr-11,acr-11,acr-11,acr-11
acr-12,acr-12,acr-12,acr-12,acr-12,acr-12,acr-12
acr-14,acr-14,acr-14,acr-14,acr-14,acr-14,acr-14
acr-15,acr-15,acr-15,acr-15,acr-15,acr-15,acr-15
acr-16,acr-16,acr-16,acr-16,acr-16,acr-16,acr-16
acr-17,acr-17,acr-17,acr-17,acr-17,acr-17,acr-17
acr-18,acr-18,acr-18,acr-18,acr-18,acr-18,acr-18
acr-19,acr-19,acr-19,acr-19,acr-19,acr-19,acr-19
acr-20,acr-20,acr-20,acr-20,acr-20,acr-20,acr-20
acr-21,acr-21,acr-21,acr-21,acr-21,acr-21,acr-21
lgc-11,lgc-11,lgc-11,lgc-11,lgc-11,lgc-11,lgc-11
acr-23,acr-23,acr-23,acr-23,acr-23,acr-23,acr-23
act-1,act-1,act-1,act-1,act-1,act-1,act-1
act-2,act-2,act-2,act-2,act-2,act-2,act-2
act-3,act-3,act-3,act-3,act-3,act-3,act-3
act-4,act-4,act-4,act-4,act-4,act-4,act-4
act-5,act-5,act-5,act-5,act-5,act-5,act-5
acy-1,acy-1,acy-1,acy-1,acy-1,acy-1,acy-1
acy-2,acy-2,acy-2,acy-2,acy-2,acy-2,acy-2
acy-3,acy-3,acy-3,acy-3,acy-3,acy-3,acy-3
acy-4,acy-4,acy-4,acy-4,acy-4,acy-4,acy-4
add-1,add-1,add-1,add-1,add-1,add-1,add-1
add-2,add-2,add-2,add-2,add-2,add-2,add-2
adm-2,adm-2,adm-2,adm-2,adm-2,adm-2,adm-2
adm-4,adm-4,adm-4,adm-4,adm-4,adm-4,adm-4
adr-1,adr-1,adr-1,adr-1,adr-1,adr-1,adr-1
adr-2,adr-2,adr-2,adr-2,adr-2,adr-2,adr-2
ads-1,ads-1,ads-1,ads-1,ads-1,ads-1,ads-1
adt-1,adt-1,adt-1,adt-1,adt-1,adt-1,adt-1
adt-2,adt-2,adt-2,adt-2,adt-2,adt-2,adt-2
aex-1,aex-1,aex-1,aex-1,aex-1,aex-1,aex-1
aex-2,aex-2,aex-2,aex-2,aex-2,aex-2,aex-2
aex-3,aex-3,aex-3,aex-3,aex-3,aex-3,aex-3
aex-5,aex-5,aex-5,aex-5,aex-5,aex-5,aex-5
aex-6,aex-6,aex-6,aex-6,aex-6,aex-6,aex-6
age-1,age-1,age-1,age-1,age-1,age-1,age-1
ags-3,ags-3,ags-3,ags-3,ags-3,ags-3,ags-3
agt-1,agt-1,agt-1,agt-1,agt-1,agt-1,agt-1
agt-2,agt-2,agt-2,agt-2,agt-2,agt-2,agt-2
aha-1,aha-1,aha-1,aha-1,aha-1,aha-1,aha-1
ahr-1,ahr-1,ahr-1,ahr-1,ahr-1,ahr-1,ahr-1
aip-1,aip-1,aip-1,aip-1,aip-1,aip-1,aip-1
air-1,air-1,air-1,air-1,air-1,air-1,air-1
air-2,air-2,air-2,air-2,air-2,air-2,air-2
ajm-1,ajm-1,ajm-1,ajm-1,ajm-1,ajm-1,ajm-1
aka-1,aka-1,aka-1,aka-1,aka-1,aka-1,aka-1
akt-1,akt-1,akt-1,akt-1,akt-1,akt-1,akt-1
akt-2,akt-2,akt-2,akt-2,akt-2,akt-2,akt-2
alg-1,alg-1,alg-1,alg-1,alg-1,alg-1,alg-1
alg-2,alg-2,alg-2,alg-2,alg-2,alg-2,alg-2
alh-1,alh-1,alh-1,alh-1,alh-1,alh-1,alh-1
alh-2,alh-2,alh-2,alh-2,alh-2,alh-2,alh-2
alh-3,alh-3,alh-3,alh-3,alh-3,alh-3,alh-3
alh-4,alh-4,alh-4,alh-4,alh-4,alh-4,alh-4
alh-5,alh-5,alh-5,alh-5,alh-5,alh-5,alh-5
alh-6,alh-6,alh-6,alh-6,alh-6,alh-6,alh-6
alh-7,alh-7,alh-7,alh-7,alh-7,alh-7,alh-7
alh-8,alh-8,alh-8,alh-8,alh-8,alh-8,alh-8
alh-9,alh-9,alh-9,alh-9,alh-9,alh-9,alh-9
alh-10,alh-10,alh-10,alh-10,alh-10,alh-10,alh-10
alh-11,alh-11,alh-11,alh-11,alh-11,alh-11,alh-11
alh-12,alh-12,alh-12,alh-12,alh-12,alh-12,alh-12
aly-1,aly-1,aly-1,aly-1,aly-1,aly-1,aly-1
aly-2,aly-2,aly-2,aly-2,aly-2,aly-2,aly-2
aly-3,aly-3,aly-3,aly-3,aly-3,aly-3,aly-3
ama-1,ama-1,ama-1,ama-1,ama-1,ama-1,ama-1
amt-1,amt-1,amt-1,amt-1,amt-1,amt-1,amt-1
amt-2,amt-2,amt-2,amt-2,amt-2,amt-2,amt-2
amt-3,amt-3,amt-3,amt-3,amt-3,amt-3,amt-3
amt-4,amt-4,amt-4,amt-4,amt-4,amt-4,amt-4
amx-1,amx-1,amx-1,amx-1,amx-1,amx-1,amx-1
amx-2,amx-2,amx-2,amx-2,amx-2,amx-2,amx-2
amx-3,amx-3,amx-3,amx-3,amx-3,amx-3,amx-3
anc-1,anc-1,anc-1,anc-1,anc-1,anc-1,anc-1
aos-1,aos-1,aos-1,aos-1,aos-1,aos-1,aos-1
apc-2,apc-2,apc-2,apc-2,apc-2,apc-2,apc-2
apc-10,apc-10,apc-10,apc-10,apc-10,apc-10,apc-10
apc-11,apc-11,apc-11,apc-11,apc-11,apc-11,apc-11
ape-1,ape-1,ape-1,ape-1,ape-1,ape-1,ape-1
aph-1,aph-1,aph-1,aph-1,aph-1,aph-1,aph-1
aph-2,aph-2,aph-2,aph-2,aph-2,aph-2,aph-2
apl-1,apl-1,apl-1,apl-1,apl-1,apl-1,apl-1
apm-1,apm-1,apm-1,apm-1,apm-1,apm-1,apm-1
apn-1,apn-1,apn-1,apn-1,apn-1,apn-1,apn-1
app-1,app-1,app-1,app-1,app-1,app-1,app-1
1-Apr,1-Apr,1-Apr,1-Apr,1-Apr,1-Apr,1-Apr
aps-2,aps-2,aps-2,aps-2,aps-2,aps-2,aps-2
apg-1,apg-1,apg-1,apg-1,apg-1,apg-1,apg-1
aps-1,aps-1,aps-1,aps-1,aps-1,aps-1,aps-1
apb-1,apb-1,apb-1,apb-1,apb-1,apb-1,apb-1
apa-2,apa-2,apa-2,apa-2,apa-2,apa-2,apa-2
apd-3,apd-3,apd-3,apd-3,apd-3,apd-3,apd-3
apb-3,apb-3,apb-3,apb-3,apb-3,apb-3,apb-3
apm-3,apm-3,apm-3,apm-3,apm-3,apm-3,apm-3
aps-3,aps-3,aps-3,aps-3,aps-3,aps-3,aps-3
apt-9,apt-9,apt-9,apt-9,apt-9,apt-9,apt-9
