,Am/PH_sheath_cells,Touch_receptor_neurons,Oxygen_sensory_neurons,GABAergic_neurons,Rectum,Canal_associated_neurons,Cholinergic_neurons,Excretory_cells,Seam_cells,Pharyngeal_neurons,Other_interneurons,Ciliated_sensory_neurons,Somatic_gonad_precursors,Germline,Non-seam_hypodermis,Coelomocytes,Pharyngeal_epithelia,Pharyngeal_gland,Intestine,Pharyngeal_muscle,Intestinal/rectal_muscle,Body_wall_muscle
Am/PH_sheath_cells,0.0,67.986959005712,62.28686579156948,60.371839084575946,76.9008643477201,57.48929233516137,57.900913200888745,57.2855227973774,63.369368237325006,67.04282409976662,77.96717181519689,78.02368712318491,59.282682988244865,59.28046455555316,74.61928977838268,51.80229995167341,72.34900999957934,45.61631589021915,56.663381272633934,72.1615374044742,75.8118917604222,62.74631322029111
Touch_receptor_neurons,67.986959005712,0.0,54.70559464302478,60.94471237006995,42.810423671959065,43.04273936519567,58.30834136319524,97.30283625803536,64.39454270431,107.22644613943416,43.197931965844305,42.834651496090025,43.11339905547764,43.00806214866526,83.12906758285006,52.231562864921074,111.25428306402519,84.42971776501435,51.798768740479126,112.30107019661223,42.84965150805262,74.85737748380558
Oxygen_sensory_neurons,62.28686579156948,54.70559464302478,0.0,59.63893506390036,52.19438518897448,52.09194112737241,58.01022387834807,82.97818100588678,64.2541993136216,92.95900807830806,53.22239875593147,52.34310029695939,52.09473683559393,52.05981790510961,80.02494681602428,52.44696218324706,97.01368341341458,70.22118312544899,53.225328389313674,98.02297343322256,52.20863800581668,70.70667144393987
GABAergic_neurons,60.371839084575946,60.94471237006995,59.63893506390036,0.0,62.85147162931045,49.733255867019054,54.81997760599538,67.91367631451618,61.62728582386494,78.67190295676457,64.28213935039727,64.41854422189864,49.85801167829253,49.86448648887503,76.17506632246305,49.9779395405865,84.18334102822352,57.84585339894289,52.74675574493085,83.71398050023737,61.70212299190362,64.81016636479251
Rectum,76.9008643477201,42.810423671959065,52.19438518897448,62.85147162931045,0.0,58.41657400730185,66.21527583506442,127.43677813075539,74.14060468671246,137.47773449486596,6.379857929285364,4.33911567926837,53.08043179531969,52.95786181841905,94.73225882206022,76.21133815369298,141.50833074286263,114.65832238183467,61.231336326418024,142.55413102792133,7.213566149452925,92.16628601973872
Canal_associated_neurons,57.48929233516137,43.04273936519567,52.09194112737241,49.733255867019054,58.41657400730185,0.0,37.935223749147646,69.20635358751656,45.81614776825269,79.20583472408265,59.98797300486217,61.66492930200866,7.742307316530684,6.627211141364647,67.03585541651178,19.379461113121657,83.23577651354792,56.41234756362398,30.056461114036,84.27643874435715,55.08745604786782,51.333293130290414
Cholinergic_neurons,57.900913200888745,58.30834136319524,58.01022387834807,54.81997760599538,66.21527583506442,37.935223749147646,0.0,61.75053202816433,55.28066153642824,72.54529112019891,67.85879049676595,69.15769065027759,38.27771349470731,38.09827528458793,71.38999169056352,38.97772883797922,77.74358270456564,51.64151161257696,44.61252392229512,77.58899938083114,63.693407900615895,57.74408784109903
Excretory_cells,57.2855227973774,97.30283625803536,82.97818100588678,67.91367631451618,127.43677813075539,69.20635358751656,61.75053202816433,0.0,63.84849931845157,17.697476640312473,128.98159623282586,130.67664693687001,74.40788238189255,74.50730328315498,65.021664889497,51.31866458570684,28.86060689825617,13.83145990812493,66.46182065405164,22.75719198886382,124.06991610458645,49.33893032800326
Seam_cells,63.369368237325006,64.39454270431,64.2541993136216,61.62728582386494,74.14060468671246,45.81614776825269,55.28066153642824,63.84849931845157,0.0,71.15718713877025,75.44513997481926,76.73447335055721,46.81331082626319,46.756614295366525,73.36356409127666,46.01635828798397,76.45465331824772,56.318433399873754,51.57048192445936,75.71904199692852,71.49352095398675,61.17222603213526
Pharyngeal_neurons,67.04282409976662,107.22644613943416,92.95900807830806,78.67190295676457,137.47773449486596,79.20583472408265,72.54529112019891,17.697476640312473,71.15718713877025,0.0,139.04529715765517,140.72946619581222,84.54067397152055,84.61335916326138,67.95861541852896,61.54112398506955,26.684744148593172,23.83952263163224,76.42200557553551,20.412832736464747,134.13492027446893,55.065148416583135
Other_interneurons,77.96717181519689,43.197931965844305,53.22239875593147,64.28213935039727,6.379857929285364,59.98797300486217,67.85879049676595,128.98159623282586,75.44513997481926,139.04529715765517,0.0,6.229971780992073,54.615910635138235,54.502364646036995,95.87738999073206,77.74863147802978,143.0770063184128,116.22842160740925,62.83932016131537,144.12116214623907,8.688007577059079,93.71506042485208
Ciliated_sensory_neurons,78.02368712318491,42.834651496090025,52.34310029695939,64.41854422189864,4.33911567926837,61.66492930200866,69.15769065027759,130.67664693687001,76.73447335055721,140.72946619581222,6.229971780992073,0.0,56.3125798671941,56.19538406839756,96.80093027076916,79.44513333929069,144.7607153603321,117.91103895728631,64.47063512719038,145.8057998092792,8.69325172141053,95.1498714356456
Somatic_gonad_precursors,59.282682988244865,43.11339905547764,52.09473683559393,49.85801167829253,53.08043179531969,7.742307316530684,38.27771349470731,74.40788238189255,46.81331082626319,84.54067397152055,54.615910635138235,56.3125798671941,0.0,5.390318719285922,68.9053861673426,23.571259303366663,88.57665973075396,61.75206224622036,31.063383864103336,89.60820119201361,49.71231950700303,53.978639782503485
Germline,59.28046455555316,43.00806214866526,52.05981790510961,49.86448648887503,52.95786181841905,6.627211141364647,38.09827528458793,74.50730328315498,46.756614295366525,84.61335916326138,54.502364646036995,56.19538406839756,5.390318719285922,0.0,68.76330010101951,23.433273818981654,88.64773641831576,61.81718872871763,30.85084982307801,89.68296525738643,49.596673660933206,53.8891511411792
Non-seam_hypodermis,74.61928977838268,83.12906758285006,80.02494681602428,76.17506632246305,94.73225882206022,67.03585541651178,71.38999169056352,65.021664889497,73.36356409127666,67.95861541852896,95.87738999073206,96.80093027076916,68.9053861673426,68.76330010101951,0.0,63.67039915759838,71.77830698433625,62.29472525166921,69.85040571544087,70.57305635963301,92.86443006960023,70.43963203922436
Coelomocytes,51.80229995167341,52.231562864921074,52.44696218324706,49.9779395405865,76.21133815369298,19.379461113121657,38.97772883797922,51.31866458570684,46.01635828798397,61.54112398506955,77.74863147802978,79.44513333929069,23.571259303366663,23.433273818981654,63.67039915759838,0.0,65.60497616204222,38.83445050336666,32.52384635634159,66.58756716582826,72.84148604516076,46.410438137665864
Pharyngeal_epithelia,72.34900999957934,111.25428306402519,97.01368341341458,84.18334102822352,141.50833074286263,83.23577651354792,77.74358270456564,28.86060689825617,76.45465331824772,26.684744148593172,143.0770063184128,144.7607153603321,88.57665973075396,88.64773641831576,71.77830698433625,65.60497616204222,0.0,31.46300844125914,80.47669745806856,26.753278976828188,138.16703105856828,60.61459710934378
Pharyngeal_gland,45.61631589021915,84.42971776501435,70.22118312544899,57.84585339894289,114.65832238183467,56.41234756362398,51.64151161257696,13.83145990812493,56.318433399873754,23.83952263163224,116.22842160740925,117.91103895728631,61.75206224622036,61.81718872871763,62.29472525166921,38.83445050336666,31.46300844125914,0.0,53.681291038387265,28.991822043427252,111.32078707405579,44.716920939682325
Intestine,56.663381272633934,51.798768740479126,53.225328389313674,52.74675574493085,61.231336326418024,30.056461114036,44.61252392229512,66.46182065405164,51.57048192445936,76.42200557553551,62.83932016131537,64.47063512719038,31.063383864103336,30.85084982307801,69.85040571544087,32.52384635634159,80.47669745806856,53.681291038387265,0.0,81.48805899282647,58.060394045607154,55.5602782092434
Pharyngeal_muscle,72.1615374044742,112.30107019661223,98.02297343322256,83.71398050023737,142.55413102792133,84.27643874435715,77.58899938083114,22.75719198886382,75.71904199692852,20.412832736464747,144.12116214623907,145.8057998092792,89.60820119201361,89.68296525738643,70.57305635963301,66.58756716582826,26.753278976828188,28.991822043427252,81.48805899282647,0.0,139.21074940735883,59.076372535493796
Intestinal/rectal_muscle,75.8118917604222,42.84965150805262,52.20863800581668,61.70212299190362,7.213566149452925,55.08745604786782,63.693407900615895,124.06991610458645,71.49352095398675,134.13492027446893,8.688007577059079,8.69325172141053,49.71231950700303,49.596673660933206,92.86443006960023,72.84148604516076,138.16703105856828,111.32078707405579,58.060394045607154,139.21074940735883,0.0,89.21485780905488
Body_wall_muscle,62.74631322029111,74.85737748380558,70.70667144393987,64.81016636479251,92.16628601973872,51.333293130290414,57.74408784109903,49.33893032800326,61.17222603213526,55.065148416583135,93.71506042485208,95.1498714356456,53.978639782503485,53.8891511411792,70.43963203922436,46.410438137665864,60.61459710934378,44.716920939682325,55.5602782092434,59.076372535493796,89.21485780905488,0.0
