Distances,Labe1,Color
0.0,0,red
0.0,0,red
0.9226256012057079,0,red
0.9939768608984043,0,red
1.0641414379682899,0,red
1.0699149498957714,0,red
1.0841439018874328,0,red
1.1193145223753616,0,red
1.2371127676935636,0,red
1.259287894009963,0,red
1.2673819471648866,0,red
1.312842717160295,0,red
1.3645904147402008,0,red
1.3976945302884884,0,red
1.4240087780628956,0,red
1.4354626431918545,0,red
1.4396648915672563,0,red
1.4802232939659934,0,red
1.486537587817702,0,red
1.4920975169224535,0,red
1.5081674310232422,0,red
1.561306183937575,0,red
1.6060744067447363,0,red
1.6238488230127148,0,red
1.6820434001538391,0,red
1.6836608922225467,0,red
1.6895555628620438,0,red
1.7091919143266991,0,red
1.762308429304023,0,red
1.7995474431098222,0,red
1.8099798341437845,0,red
1.8103068800621993,0,red
1.847207893010956,0,red
1.8475353853195309,0,red
1.8535603577983708,0,red
1.8565726487267438,0,red
1.869552085393385,0,red
1.872021901581307,0,red
1.8795683015010727,0,red
1.8969240891508683,0,red
1.9600395404178166,0,red
1.9709137474782188,0,red
1.9814827781247364,0,red
2.0001764922159873,0,red
2.082825724826597,0,red
2.129381600371899,0,red
2.136451263193223,0,red
2.210247497453715,0,red
2.251954262411938,0,red
2.26263121166582,0,red
2.293050806239724,0,red
2.3863055127113895,0,red
2.4039960482496308,0,red
2.409290974538949,0,red
2.5394007167046877,0,red
2.5571446967273057,0,red
2.570217305988148,0,red
2.6087832412830956,0,red
2.619364999387177,0,red
2.6376135046667106,0,red
2.6409863687643993,0,red
2.6469576876098633,0,red
2.683184861316799,0,red
2.7215602142898954,0,red
2.7232006903638437,0,red
2.723871142326719,0,red
2.7593946799967726,0,red
2.7818962956948514,0,red
2.7901585976412053,0,red
2.8026555264602675,0,red
2.8189242629063354,0,red
2.840475136310589,0,red
2.8559817926600353,0,red
2.8858206804995783,0,red
2.890398069470167,0,red
2.934990800666888,0,red
2.997520308521132,0,red
3.0363431953582976,0,red
3.0363431953582976,0,red
3.043710071606508,0,red
3.043994415237994,0,red
3.046119006209124,0,red
3.0893308336916627,0,red
3.1489736423158883,0,red
3.1658712860783256,0,red
3.1954059210067434,0,red
3.206143789664938,0,red
3.2713842635799657,0,red
3.2747125064661153,0,red
3.28146796418919,0,red
3.2957762363358305,0,red
3.358451279980081,0,red
3.3656087116593585,0,red
3.3873463064771707,0,red
3.397453605275523,0,red
3.4091638270978186,0,red
3.4219522205899566,0,red
3.4279595971960837,0,red
3.454839214782605,0,red
3.465465048155844,0,red
3.4974193343095368,0,red
3.5490247956299785,0,red
