,Am/PH_sheath_cells,Touch_receptor_neurons,Oxygen_sensory_neurons,GABAergic_neurons,Rectum,Canal_associated_neurons,Cholinergic_neurons,Excretory_cells,Seam_cells,Pharyngeal_neurons,Other_interneurons,Ciliated_sensory_neurons,Somatic_gonad_precursors,Germline,Non-seam_hypodermis,Coelomocytes,Pharyngeal_epithelia,Pharyngeal_gland,Intestine,Pharyngeal_muscle,Intestinal/rectal_muscle,Body_wall_muscle
Am/PH_sheath_cells,0.0,3.1658712860783256,1.8099798341437845,2.3863055127113895,4.472613665408477,47.09789656661956,4.7545512932347895,11.193877076330601,2.6409863687643993,1.6836608922225467,4.054460383331344,5.553105527541767,49.35440147545098,52.773198500754155,1.4802232939659934,15.517826200856808,2.7818962956948514,2.8026555264602675,6.236640842633078,3.397453605275523,2.840475136310589,1.9600395404178166
Touch_receptor_neurons,3.1658712860783256,0.0,4.874073245244116,5.458439428993891,7.422089059019252,13.312555952933938,7.486220541768663,50.103622563643036,0.9939768608984043,40.04012111620042,2.8559817926600353,8.664513835178843,15.520122357765022,18.451557251354103,1.2371127676935636,9.992500688016008,35.1191462026058,38.441461470656925,2.683184861316799,37.84122431951695,5.892387122381295,1.4354626431918545
Oxygen_sensory_neurons,1.8099798341437845,4.874073245244116,0.0,1.762308429304023,3.7511338285936686,35.564530827778306,4.857611861809892,26.237184509775396,3.2957762363358305,16.423262343395646,2.409290974538949,4.1300467309726026,37.8107370068344,41.23019573079904,4.712821023548123,4.587329724360026,11.943385156646311,15.126697127925825,4.48749830083526,14.159550663774542,1.3645904147402008,2.7901585976412053
GABAergic_neurons,2.3863055127113895,5.458439428993891,1.762308429304023,0.0,2.0001764922159873,8.628780852472396,0.9226256012057079,5.686943906879926,3.8332243607701524,1.9709137474782188,1.561306183937575,1.869552085393385,4.558142604176417,7.729907761415848,4.0645337986045265,2.8189242629063354,2.723871142326719,2.5571446967273057,3.2713842635799657,3.4219522205899566,1.4396648915672563,1.6820434001538391
Rectum,4.472613665408477,7.422089059019252,3.7511338285936686,2.0001764922159873,0.0,53.1521061859264,0.0,120.08686035116412,8.597656308553152,110.14549665782981,1.8795683015010727,1.8475353853195309,44.727887799447885,47.92814994343094,1.0699149498957714,55.91890060614562,105.33517423444076,108.74036768836123,3.8249783005920404,107.90327893535023,2.251954262411938,1.0641414379682899
Canal_associated_neurons,47.09789656661956,13.312555952933938,35.564530827778306,8.628780852472396,53.1521061859264,0.0,4.978441322341254,62.994967354543455,4.691156147475556,53.18340471425268,50.5027649342092,59.39361185346453,3.465465048155844,4.206890062741885,2.997520308521132,3.937775133245182,48.282630686407266,51.61799800457195,1.7995474431098222,50.78711509822147,48.06873989403096,3.891144047705382
Cholinergic_neurons,4.7545512932347895,7.486220541768663,4.857611861809892,0.9226256012057079,0.0,4.978441322341254,0.0,2.6376135046667106,1.4920975169224535,2.5394007167046877,2.7215602142898954,3.206143789664938,2.6087832412830956,3.0363431953582976,3.0363431953582976,2.293050806239724,3.28146796418919,3.1489736423158883,1.847207893010956,3.043994415237994,2.619364999387177,1.312842717160295
Excretory_cells,11.193877076330601,50.103622563643036,26.237184509775396,5.686943906879926,120.08686035116412,62.994967354543455,2.6376135046667106,0.0,8.925154004273544,4.473410108630634,117.27034503658628,126.31837179919634,65.05631498939975,68.47521274884801,9.320836014006455,31.054945000756295,13.175827146710805,6.49768720392114,21.41749158981973,3.454839214782605,114.75597888563368,2.7232006903638437
Seam_cells,2.6409863687643993,0.9939768608984043,3.2957762363358305,3.8332243607701524,8.597656308553152,4.691156147475556,1.4920975169224535,8.925154004273544,0.0,2.136451263193223,2.129381600371899,9.677391590713228,3.8846066724963015,6.715296717197201,1.8103068800621993,2.4039960482496308,2.934990800666888,3.0893308336916627,3.046119006209124,2.570217305988148,6.2826503961312214,2.26263121166582
Pharyngeal_neurons,1.6836608922225467,40.04012111620042,16.423262343395646,1.9709137474782188,110.14549665782981,53.18340471425268,2.5394007167046877,4.473410108630634,2.136451263193223,0.0,107.50713260058605,116.45962531710292,55.42720347446727,58.75687215977379,1.8969240891508683,22.12252209853115,3.358451279980081,1.8535603577983708,12.57618201204171,1.1193145223753616,104.99101249630846,1.8565726487267438
Other_interneurons,4.054460383331344,2.8559817926600353,2.409290974538949,1.561306183937575,1.8795683015010727,50.5027649342092,2.7215602142898954,117.27034503658628,2.129381600371899,107.50713260058605,0.0,1.486537587817702,41.86107448453747,45.09139326966941,1.9814827781247364,53.06992763326504,102.68105533641535,106.07282541254376,2.890398069470167,105.12885269515685,1.7091919143266991,3.3873463064771707
Ciliated_sensory_neurons,5.553105527541767,8.664513835178843,4.1300467309726026,1.869552085393385,1.8475353853195309,59.39361185346453,3.206143789664938,126.31837179919634,9.677391590713228,116.45962531710292,1.486537587817702,0.0,50.888798905063645,54.119024473839175,3.4279595971960837,62.078531860861546,111.65996250223263,115.07380729775132,10.205636971791636,114.16475672465648,3.6438729396079204,3.900431386399526
Somatic_gonad_precursors,49.35440147545098,15.520122357765022,37.8107370068344,4.558142604176417,44.727887799447885,3.465465048155844,2.6087832412830956,65.05631498939975,3.8846066724963015,55.42720347446727,41.86107448453747,50.888798905063645,0.0,3.2747125064661153,3.5490247956299785,3.3656087116593585,50.57063691511112,53.83581494692911,3.043710071606508,52.9129248104846,39.40506911553392,2.7593946799967726
