,Am/PH_sheath_cells,Touch_receptor_neurons,Oxygen_sensory_neurons,GABAergic_neurons,Rectum,Canal_associated_neurons,Cholinergic_neurons,Excretory_cells,Seam_cells,Pharyngeal_neurons,Other_interneurons,Ciliated_sensory_neurons,Somatic_gonad_precursors,Germline,Non-seam_hypodermis,Coelomocytes,Pharyngeal_epithelia,Pharyngeal_gland,Intestine,Pharyngeal_muscle,Intestinal/rectal_muscle,Body_wall_muscle
Other_interneurons,129.26160245796117,88.74186539621536,112.44663141686372,133.1336572058321,18.450234768153955,75.61458082936119,136.9246256120498,146.38600206645444,169.3440831768267,169.30296668694263,0.0,12.354063056339609,73.46830444484203,70.01570997283393,191.06654235108775,107.58042844774326,185.9655825845202,133.79859353520874,117.08831043276693,182.2787770284846,23.881822627262096,177.59014050053568
Ciliated_sensory_neurons,117.53445762413676,77.02435654388816,100.78072796919064,121.41183379720447,7.196049819171936,63.87150132101174,125.21010582217396,134.67118197298186,157.60891764110303,157.58062801626346,12.354063056339609,0.0,61.73797292590683,58.299277422623305,179.36508650515015,95.84052803485592,174.24321404576995,122.0808425388685,105.39449994662911,170.5556108839577,12.363186401571793,165.86792340895812
Somatic_gonad_precursors,67.20631312607473,70.95587703636677,65.75711553132483,70.0939866821684,62.94861908731607,13.34068536470296,73.86508606236103,83.32801421490853,106.4426442127402,106.3280027133022,73.46830444484203,61.73797292590683,0.0,7.493280056157283,128.14285360487332,44.63213336823596,122.98667413179363,70.97604471932767,54.05652306613883,119.30167604438756,64.82010875492267,114.61943759677064
Germline,63.75844591111051,67.50108605792944,62.305656677383695,66.86234549430645,59.50459200767622,10.162538364011375,70.63947517500398,80.10008445064213,103.18717031201118,103.07958271646234,70.01570997283393,58.299277422623305,7.493280056157283,0.0,124.8898852349541,41.391841261292065,119.73941288481417,67.71055399271226,50.80735371971268,116.05411043560673,61.35513085309163,111.37239139481564
Non-seam_hypodermis,184.82572790063622,188.57172045139748,183.33198628989982,182.5243403987534,180.60974926343263,119.6057609356673,176.8270853856954,160.59368476686745,189.14193648686162,183.5280518367696,191.06654235108775,179.36508650515015,128.14285360487332,124.8898852349541,0.0,121.79543794822533,200.19080213136667,148.03009190701732,168.86116645931355,196.50406442870334,182.35644770887595,191.81512660111036
Coelomocytes,101.31787339359235,105.07293206625577,99.85876086753736,99.0275658844546,97.06501495389575,36.492237941787,93.22778819107533,72.15725799252628,105.6725520227462,95.17975131822944,107.58042844774326,95.84052803485592,44.63213336823596,41.391841261292065,121.79543794822533,0.0,111.8331590987217,59.902298102827395,85.48748662231216,108.15004331483182,98.92351735558134,103.47765160168643
Pharyngeal_epithelia,179.71380760531454,183.4637320507789,178.23300718722112,177.4164278301195,175.47939663960557,114.53845188843789,171.66626317946114,47.587120022123635,184.04701794378522,57.60900517280264,185.9655825845202,174.24321404576995,122.98667413179363,119.73941288481417,200.19080213136667,111.8331590987217,0.0,58.943794329852906,163.79382803390365,59.68052550036737,177.27383783006448,180.75418943415943
Pharyngeal_gland,127.55387640522733,131.3225189828462,126.0525763520921,125.26377817230326,123.3577121585838,62.494424799337104,119.59218809771818,20.543661820619953,131.88839127838355,42.32240774105367,133.79859353520874,122.0808425388685,70.97604471932767,67.71055399271226,148.03009190701732,59.902298102827395,58.943794329852906,0.0,111.62002139401336,55.266364915742386,125.09208116023972,128.5678767266536
Intestine,110.83938060996192,114.55331220004071,109.38738322585475,111.0082884337922,106.56741219059421,53.51659105361621,114.79824233410547,124.25102132779433,147.1888599419127,147.1336215723653,117.08831043276693,105.39449994662911,54.05652306613883,50.80735371971268,168.86116645931355,85.48748662231216,163.79382803390365,111.62002139401336,0.0,160.10865189301919,108.41371273505949,155.43689019984927
Pharyngeal_muscle,176.02670714695543,179.777398854806,174.54595207566405,173.7297465404241,171.79259947390054,110.85729531248721,167.97955791405096,43.908381124792115,180.36077816698395,53.941143091336144,182.2787770284846,170.5556108839577,119.30167604438756,116.05411043560673,196.50406442870334,108.15004331483182,59.68052550036737,55.266364915742386,160.10865189301919,0.0,173.58754512349094,177.0679745549714
Intestinal/rectal_muscle,120.55563752475452,80.03110098580424,103.75091203454552,124.47229735165975,13.37470407149276,66.93384855960397,128.26668294611818,137.72359367225357,160.6507815667263,160.6121990447799,23.881822627262096,12.363186401571793,64.82010875492267,61.35513085309163,182.35644770887595,98.92351735558134,177.27383783006448,125.09208116023972,108.41371273505949,173.58754512349094,0.0,168.90517193383985
Body_wall_muscle,171.33464008483517,175.09152508045614,169.85532092342592,169.04177692215615,167.1001957090416,106.21272741060744,163.28116150064588,141.208891579107,175.67739393843476,164.09281673796693,177.59014050053568,165.86792340895812,114.61943759677064,111.37239139481564,191.81512660111036,103.47765160168643,180.75418943415943,128.5678767266536,155.43689019984927,177.0679745549714,168.90517193383985,0.0
