Ligand,Receptor,score
WBGene00006725,WBGene00009164,1.0
WBGene00006725,WBGene00016761,1.0
WBGene00006725,WBGene00012137,1.0
WBGene00002915,WBGene00003497,1.0
WBGene00002915,WBGene00003482,1.0
WBGene00001700,WBGene00004208,1.0
WBGene00001263,WBGene00003930,1.0
WBGene00001263,WBGene00002081,1.0
WBGene00001263,WBGene00003929,1.0
WBGene00001263,WBGene00001403,1.0
WBGene00001328,WBGene00003930,1.0
WBGene00001328,WBGene00002081,1.0
WBGene00001328,WBGene00003929,1.0
WBGene00000857,WBGene00003006,1.0
WBGene00000857,WBGene00015171,1.0
WBGene00000857,WBGene00003397,1.0
WBGene00000857,WBGene00003238,1.0
WBGene00000857,WBGene00022242,1.0
WBGene00000857,WBGene00003007,1.0
WBGene00010738,WBGene00022816,1.0
WBGene00001745,WBGene00004780,1.0
WBGene00001745,WBGene00008890,1.0
WBGene00001745,WBGene00004778,1.0
WBGene00001745,WBGene00011878,1.0
WBGene00001745,WBGene00021897,1.0
WBGene00003775,WBGene00006779,1.0
WBGene00001666,WBGene00003233,1.0
WBGene00001666,WBGene00004779,1.0
WBGene00001666,WBGene00022675,1.0
WBGene00001666,WBGene00020506,1.0
WBGene00001666,WBGene00003232,1.0
WBGene00001666,WBGene00011878,1.0
WBGene00001666,WBGene00021528,1.0
WBGene00001666,WBGene00006411,1.0
WBGene00001666,WBGene00021152,1.0
WBGene00000288,WBGene00006779,1.0
WBGene00000288,WBGene00013869,1.0
WBGene00000288,WBGene00011433,1.0
WBGene00003165,WBGene00003169,1.0
WBGene00006750,WBGene00006765,1.0
WBGene00004374,WBGene00014117,1.0
WBGene00004374,WBGene00007709,1.0
WBGene00004374,WBGene00009701,1.0
WBGene00004374,WBGene00019606,1.0
WBGene00001663,WBGene00006525,1.0
WBGene00000552,WBGene00019875,1.0
WBGene00000552,WBGene00015648,1.0
WBGene00000552,WBGene00006526,1.0
WBGene00000552,WBGene00006779,1.0
WBGene00000552,WBGene00006742,1.0
WBGene00000552,WBGene00013869,1.0
WBGene00000552,WBGene00001614,1.0
WBGene00000552,WBGene00003151,1.0
WBGene00000552,WBGene00003774,1.0
WBGene00000552,WBGene00011433,1.0
WBGene00000552,WBGene00001615,1.0
WBGene00000552,WBGene00001616,1.0
WBGene00000552,WBGene00001617,1.0
WBGene00000552,WBGene00003153,1.0
WBGene00000552,WBGene00000553,1.0
WBGene00000552,WBGene00001187,1.0
WBGene00000552,WBGene00008570,1.0
WBGene00002248,WBGene00003930,1.0
WBGene00002248,WBGene00003929,1.0
WBGene00000936,WBGene00001687,1.0
WBGene00000936,WBGene00004860,1.0
WBGene00000936,WBGene00022154,1.0
WBGene00000936,WBGene00002299,1.0
WBGene00000858,WBGene00003006,1.0
WBGene00000858,WBGene00003238,1.0
WBGene00000858,WBGene00015171,1.0
WBGene00000858,WBGene00003397,1.0
WBGene00000858,WBGene00022242,1.0
WBGene00000858,WBGene00003007,1.0
WBGene00000858,WBGene00002299,1.0
WBGene00012186,WBGene00022816,1.0
WBGene00001188,WBGene00003006,1.0
WBGene00001188,WBGene00003238,1.0
WBGene00001188,WBGene00001475,1.0
WBGene00001188,WBGene00015171,1.0
WBGene00001188,WBGene00003397,1.0
WBGene00001188,WBGene00022242,1.0
WBGene00001188,WBGene00003007,1.0
WBGene00001103,WBGene00003001,1.0
WBGene00000184,WBGene00010272,1.0
WBGene00000184,WBGene00008711,1.0
WBGene00000184,WBGene00004040,1.0
WBGene00000184,WBGene00020504,1.0
WBGene00000214,WBGene00006765,1.0
WBGene00001768,WBGene00004776,1.0
WBGene00006770,WBGene00006776,1.0
WBGene00002996,WBGene00006779,1.0
WBGene00002243,WBGene00003930,1.0
WBGene00002243,WBGene00004732,1.0
WBGene00002243,WBGene00004048,1.0
WBGene00002243,WBGene00006780,1.0
WBGene00002243,WBGene00003929,1.0
WBGene00002243,WBGene00002299,1.0
WBGene00003111,WBGene00006868,1.0
WBGene00003111,WBGene00004047,1.0
WBGene00003111,WBGene00004048,1.0
WBGene00002246,WBGene00003001,1.0
WBGene00001678,WBGene00003233,1.0
WBGene00001678,WBGene00004779,1.0
WBGene00001678,WBGene00022675,1.0
WBGene00001678,WBGene00020506,1.0
WBGene00001678,WBGene00003232,1.0
WBGene00001678,WBGene00011878,1.0
WBGene00001678,WBGene00021528,1.0
WBGene00001678,WBGene00006411,1.0
WBGene00001678,WBGene00021152,1.0
WBGene00006728,WBGene00010272,1.0
WBGene00006728,WBGene00008711,1.0
WBGene00006728,WBGene00020649,1.0
WBGene00006728,WBGene00022454,1.0
WBGene00006728,WBGene00020504,1.0
WBGene00006728,WBGene00009164,1.0
WBGene00006728,WBGene00012137,1.0
WBGene00000180,WBGene00006765,1.0
WBGene00000075,WBGene00000149,1.0
WBGene00000075,WBGene00003001,1.0
WBGene00002335,WBGene00003930,1.0
WBGene00002335,WBGene00008711,1.0
WBGene00002335,WBGene00003001,1.0
WBGene00002335,WBGene00004040,1.0
WBGene00002335,WBGene00020504,1.0
WBGene00002335,WBGene00017039,1.0
WBGene00002335,WBGene00004214,1.0
WBGene00002335,WBGene00008599,1.0
WBGene00002335,WBGene00016059,1.0
WBGene00006746,WBGene00006745,1.0
WBGene00003774,WBGene00001613,1.0
WBGene00003775,WBGene00001613,1.0
WBGene00011480,WBGene00004469,1.0
WBGene00004488,WBGene00004469,1.0
WBGene00006728,WBGene00004469,1.0
WBGene00006725,WBGene00004469,1.0
WBGene00019994,WBGene00015171,1.0
WBGene00000857,WBGene00000289,1.0
WBGene00003395,WBGene00000289,1.0
WBGene00000858,WBGene00000289,1.0
WBGene00020581,WBGene00000289,1.0
WBGene00003029,WBGene00000289,1.0
WBGene00001188,WBGene00000289,1.0
WBGene00006852,WBGene00000900,1.0
WBGene00021594,WBGene00000900,1.0
WBGene00000903,WBGene00000900,1.0
WBGene00000936,WBGene00000900,1.0
WBGene00000915,WBGene00000900,1.0
WBGene00006570,WBGene00000900,1.0
WBGene00003775,WBGene00001612,1.0
WBGene00003774,WBGene00001612,1.0
WBGene00022214,WBGene00015648,1.0
WBGene00000552,WBGene00000069,1.0
WBGene00001745,WBGene00000069,1.0
WBGene00001666,WBGene00000069,1.0
WBGene00001678,WBGene00000069,1.0
WBGene00003395,WBGene00003007,1.0
WBGene00022242,WBGene00003007,1.0
WBGene00003029,WBGene00003007,1.0
WBGene00006746,WBGene00004732,1.0
WBGene00006780,WBGene00004732,1.0
WBGene00017184,WBGene00004732,1.0
WBGene00006852,WBGene00004860,1.0
WBGene00021594,WBGene00004860,1.0
WBGene00006570,WBGene00004860,1.0
WBGene00020702,WBGene00000751,1.0
WBGene00021939,WBGene00000751,1.0
WBGene00012814,WBGene00000751,1.0
WBGene00013846,WBGene00000751,1.0
WBGene00006727,WBGene00006576,1.0
WBGene00006725,WBGene00006576,1.0
WBGene00006324,WBGene00000149,1.0
WBGene00011480,WBGene00000149,1.0
WBGene00006620,WBGene00000149,1.0
WBGene00003497,WBGene00000149,1.0
WBGene00003482,WBGene00000149,1.0
WBGene00001985,WBGene00000149,1.0
WBGene00003963,WBGene00000149,1.0
WBGene00008779,WBGene00000149,1.0
WBGene00004769,WBGene00000149,1.0
WBGene00000552,WBGene00000070,1.0
WBGene00001745,WBGene00000070,1.0
WBGene00022816,WBGene00002282,1.0
WBGene00022214,WBGene00001187,1.0
WBGene00006852,WBGene00003169,1.0
WBGene00003173,WBGene00003169,1.0
WBGene00006324,WBGene00001609,1.0
WBGene00001985,WBGene00001609,1.0
WBGene00004769,WBGene00001609,1.0
WBGene00008779,WBGene00008542,1.0
WBGene00006951,WBGene00004211,1.0
WBGene00006953,WBGene00004211,1.0
WBGene00006947,WBGene00004211,1.0
WBGene00022214,WBGene00003774,1.0
WBGene00003775,WBGene00003774,1.0
WBGene00022214,WBGene00008570,1.0
WBGene00002335,WBGene00002195,1.0
WBGene00003929,WBGene00002974,1.0
WBGene00008779,WBGene00008692,1.0
WBGene00006324,WBGene00000792,1.0
WBGene00002996,WBGene00000792,1.0
WBGene00017013,WBGene00000792,1.0
WBGene00001679,WBGene00001052,1.0
WBGene00001745,WBGene00001052,1.0
WBGene00003774,WBGene00001052,1.0
WBGene00006728,WBGene00003174,1.0
WBGene00006727,WBGene00003174,1.0
