,Pharyngeal_epithelia,Coelomocytes,Other_interneurons,Intestinal/rectal_muscle,Seam_cells,Pharyngeal_gland,Rectum,Canal_associated_neurons,Touch_receptor_neurons,Body_wall_muscle,Ciliated_sensory_neurons,Somatic_gonad_precursors,Am/PH_sheath_cells,Pharyngeal_neurons,Intestine,Cholinergic_neurons,Excretory_cells,Germline,GABAergic_neurons,Oxygen_sensory_neurons,Pharyngeal_muscle,Non-seam_hypodermis
Ciliated_sensory_neurons,8264.259866203054,6985.560930307423,8966.299520953002,8949.087180697898,7484.316476254369,5679.809650554489,7644.743087815279,7643.69341754095,7292.0916945012705,8801.001162616632,9273.701061208087,7639.989697095299,6903.337915840948,9150.613712370889,7776.816430549756,10379.44111661374,7056.150212565304,5123.612268781858,8355.415501009928,8851.126979431067,7358.856422231414,7826.035422411249
Somatic_gonad_precursors,7885.765177692614,6307.434158275801,8134.1122618822565,8490.550602643763,6820.651047060675,4798.9899083304135,7108.592822498933,6892.125928082221,6208.052898512886,8419.672865947832,7639.989697095299,7488.701305766377,6401.027216346725,8324.430899116163,7295.811182561149,9659.14029752956,6165.84440258073,4378.87267033459,7570.768966695312,7400.701680210155,6910.159561029575,7475.0725960414875
Am/PH_sheath_cells,7006.0860920267805,5592.292299961676,7137.7854368475655,7494.750575708267,6224.564341644218,4377.856571553728,6633.143263526852,6353.072433845367,5710.643687446,7431.272670818622,6903.337915840948,6401.027216346725,5536.576884415081,7344.700462645907,6250.665369975165,8520.817645268873,5623.959467722516,3923.6727013373884,6744.535179652266,6840.238365503524,6109.82425441572,6799.691815561855
Pharyngeal_neurons,9007.879841189926,7218.636661762821,9514.916957028132,9578.553018508981,7642.144812950111,5746.604999884039,7786.006852888086,8074.174079680958,7412.443644318471,9706.706940783588,9150.613712370889,8324.430899116163,7344.700462645907,9663.415133937728,8390.640395188253,11132.756667271055,7139.187505229442,5073.7112012719335,9061.422644685219,8944.001105964637,7989.686120123319,8143.264668534821
Intestine,7805.824346744321,6228.298597374094,8094.077610210723,8491.715479852783,6662.12164782219,4784.706450135583,7011.610694839605,7132.800784595312,6317.450187686358,8294.040700474367,7776.816430549756,7295.811182561149,6250.665369975165,8390.640395188253,7027.313467728674,9533.281434706427,6124.288724877128,4273.451479840285,7393.533246930142,7699.920393490544,6744.496502244785,7351.354226971806
Cholinergic_neurons,10147.350536553526,8363.743799223515,11129.742071001536,11359.476010561142,8918.44458193865,6563.331222902843,9169.565776295936,9315.370156058316,8838.989757216073,11298.919862297527,10379.44111661374,9659.14029752956,8520.817645268873,11132.756667271055,9533.281434706427,12820.741702515177,8291.754608222596,5798.151815281973,10463.855699848355,10221.371920506088,9099.370106370425,9519.183472199318
Excretory_cells,6906.873596328941,5535.447801071126,7021.67049238106,7222.639723750307,6350.85785602524,4473.521241773537,6701.595635628164,6030.084413824828,5520.581943092641,7093.666383861944,7056.150212565304,6165.84440258073,5623.959467722516,7139.187505229442,6124.288724877128,8291.754608222596,5875.597223928529,3675.781599734216,6669.7311265009575,6829.147294594413,5928.05572638201,6832.691528980689
Germline,4783.432493841762,3750.8619368464806,4908.859578249783,4771.908387291542,4084.310969422131,2730.7011573285067,4240.908981597954,3999.467905553555,3582.8608285588343,4819.924041560329,5123.612268781858,4378.87267033459,3923.6727013373884,5073.7112012719335,4273.451479840285,5798.151815281973,3675.781599734216,2766.1412240547593,4505.6672913651755,4656.514580424435,4109.558449382038,4396.734797249139
GABAergic_neurons,8203.400672828893,6771.151536128939,8883.944306643816,9350.209716823521,7009.2424083324695,4982.667690354682,7456.830367534046,7510.231332365344,6883.991031815025,9176.443814376007,8355.415501009928,7570.768966695312,6744.535179652266,9061.422644685219,7393.533246930142,10463.855699848355,6669.7311265009575,4505.6672913651755,8357.30521841187,8429.71178582976,7144.638393211038,7668.936170810616
Oxygen_sensory_neurons,8130.377856041217,6756.456117233066,8878.78963155552,8856.141430520274,7375.6611437197525,5354.902544999817,7500.561821014573,7534.42796902085,7197.693397456306,8808.518827015225,8851.126979431067,7400.701680210155,6840.238365503524,8944.001105964637,7699.920393490544,10221.371920506088,6829.147294594413,4656.514580424435,8429.71178582976,8408.419576571016,7164.876576625909,7707.840045260698
Pharyngeal_muscle,7620.753911506648,5985.769670190868,7704.59416489814,8054.199876718549,6351.531669527139,4613.868100181324,6646.336865958694,6710.643850218432,6130.112719453514,7905.079927012638,7358.856422231414,6910.159561029575,6109.82425441572,7989.686120123319,6744.496502244785,9099.370106370425,5928.05572638201,4109.558449382038,7144.638393211038,7164.876576625909,6427.109399780153,6957.335823614258
Non-seam_hypodermis,8109.9039889713895,6457.38078622219,8269.52643636538,8151.744800534811,7489.375121826824,5047.1552440134055,7942.4875470256375,7069.349321888154,6509.723546901525,8115.769472420743,7826.035422411249,7475.0725960414875,6799.691815561855,8143.264668534821,7351.354226971806,9519.183472199318,6832.691528980689,4396.734797249139,7668.936170810616,7707.840045260698,6957.335823614258,8024.416456900971
