,Excretory_cells,Somatic_gonad_precursors,Body_wall_muscle,Am/PH_sheath_cells,Non-seam_hypodermis,Germline,Cholinergic_neurons,GABAergic_neurons,Pharyngeal_epithelia,Touch_receptor_neurons,Intestinal/rectal_muscle,Canal_associated_neurons,Intestine,Seam_cells,Rectum,Other_interneurons,Pharyngeal_neurons,Ciliated_sensory_neurons,Oxygen_sensory_neurons,Pharyngeal_gland,Pharyngeal_muscle,Coelomocytes
Intestinal/rectal_muscle,0.32967032967032966,0.3851851851851852,0.36455696202531646,0.3227665706051873,0.24705882352941178,0.19607843137254902,0.48232848232848236,0.4,0.37333333333333335,0.3711340206185567,0.37244897959183676,0.35106382978723405,0.3615819209039548,0.25225225225225223,0.31693989071038253,0.41346153846153844,0.4148148148148148,0.3735632183908046,0.41919191919191917,0.26666666666666666,0.34560906515580736,0.2926829268292683
Canal_associated_neurons,0.29310344827586204,0.32390745501285345,0.34300791556728233,0.29607250755287007,0.22839506172839505,0.1724137931034483,0.4258064516129032,0.3197969543147208,0.34540389972144847,0.3279569892473118,0.35106382978723405,0.2833333333333333,0.3136094674556213,0.23974763406940064,0.30857142857142855,0.37,0.37017994858611825,0.3253012048192771,0.38421052631578945,0.2608695652173913,0.3264094955489614,0.27564102564102566
Intestine,0.25766871165644173,0.2997275204359673,0.31932773109243695,0.2977346278317152,0.23178807947019867,0.16417910447761194,0.3792325056433409,0.25806451612903225,0.3323442136498516,0.29714285714285715,0.3615819209039548,0.3136094674556213,0.2848101265822785,0.23728813559322035,0.3048780487804878,0.36507936507936506,0.35967302452316074,0.3225806451612903,0.329608938547486,0.23826714801444043,0.27936507936507937,0.2620689655172414
Seam_cells,0.29508196721311475,0.2774566473988439,0.23214285714285715,0.2847222222222222,0.30604982206405695,0.16194331983805668,0.3222748815165877,0.23931623931623933,0.2974683544303797,0.2188449848024316,0.25225225225225223,0.23974763406940064,0.23728813559322035,0.31386861313868614,0.3517915309446254,0.2801120448179272,0.2832369942196532,0.2906574394463668,0.3026706231454006,0.1953125,0.23809523809523808,0.21561338289962825
Rectum,0.3727810650887574,0.34300791556728233,0.3252032520325203,0.3613707165109034,0.3821656050955414,0.20714285714285716,0.4,0.3333333333333333,0.36103151862464183,0.3149171270718232,0.31693989071038253,0.30857142857142855,0.3048780487804878,0.3517915309446254,0.4294117647058823,0.3487179487179487,0.34300791556728233,0.3416149068322981,0.3675675675675676,0.2491349480968858,0.2996941896024465,0.2781456953642384
Other_interneurons,0.34536082474226804,0.3916083916083916,0.4009546539379475,0.33423180592991913,0.2802197802197802,0.18787878787878787,0.4871287128712871,0.3640552995391705,0.38596491228070173,0.3932038834951456,0.41346153846153844,0.37,0.36507936507936506,0.2801120448179272,0.3487179487179487,0.42272727272727273,0.41025641025641024,0.3924731182795699,0.4095238095238095,0.26548672566371684,0.35013262599469497,0.3181818181818182
Pharyngeal_neurons,0.3448275862068966,0.3923444976076555,0.43137254901960786,0.3,0.28328611898017,0.219435736677116,0.4939271255060729,0.3971631205673759,0.38144329896907214,0.3491271820448878,0.4148148148148148,0.37017994858611825,0.35967302452316074,0.2832369942196532,0.34300791556728233,0.41025641025641024,0.4449760765550239,0.39335180055401664,0.43031784841075793,0.27439024390243905,0.3551912568306011,0.30498533724340177
Ciliated_sensory_neurons,0.3125,0.3157894736842105,0.35327635327635326,0.31683168316831684,0.25675675675675674,0.24427480916030533,0.40274599542334094,0.3224043715846995,0.37462235649546827,0.3372093023255814,0.3735632183908046,0.3253012048192771,0.3225806451612903,0.2906574394463668,0.3416149068322981,0.3924731182795699,0.39335180055401664,0.3881578947368421,0.3806818181818182,0.2878228782287823,0.343042071197411,0.33098591549295775
Oxygen_sensory_neurons,0.32608695652173914,0.35207823960880197,0.40601503759398494,0.2905982905982906,0.29651162790697677,0.2129032258064516,0.4742268041237113,0.38164251207729466,0.37467018469656993,0.35714285714285715,0.41919191919191917,0.38421052631578945,0.329608938547486,0.3026706231454006,0.3675675675675676,0.4095238095238095,0.43031784841075793,0.3806818181818182,0.435,0.26332288401253917,0.32492997198879553,0.28313253012048195
Pharyngeal_gland,0.21602787456445993,0.25,0.2830188679245283,0.21481481481481482,0.19771863117870722,0.13100436681222707,0.31683168316831684,0.21021021021021022,0.28187919463087246,0.21221864951768488,0.26666666666666666,0.2608695652173913,0.23826714801444043,0.1953125,0.2491349480968858,0.26548672566371684,0.27439024390243905,0.2878228782287823,0.26332288401253917,0.17647058823529413,0.21014492753623187,0.23904382470119523
Pharyngeal_muscle,0.28307692307692306,0.31693989071038253,0.3089887640449438,0.2727272727272727,0.26578073089701,0.17228464419475656,0.38009049773755654,0.2803234501347709,0.3273809523809524,0.2979942693409742,0.34560906515580736,0.3264094955489614,0.27936507936507937,0.23809523809523808,0.2996941896024465,0.35013262599469497,0.3551912568306011,0.343042071197411,0.32492997198879553,0.21014492753623187,0.2611464968152866,0.2560553633217993
Coelomocytes,0.26,0.28152492668621704,0.27794561933534745,0.26148409893992935,0.2246376811594203,0.1487603305785124,0.3261390887290168,0.24277456647398843,0.3086816720257235,0.25308641975308643,0.2926829268292683,0.27564102564102566,0.2620689655172414,0.21561338289962825,0.2781456953642384,0.3181818181818182,0.30498533724340177,0.33098591549295775,0.28313253012048195,0.23904382470119523,0.2560553633217993,0.25
